name,url,description,meta
SAP Materials Management (New),https://www.shl.com/products/product-catalog/view/sap-materials-management-new/,We recommend upgrading to a modern browser.,
Microsoft Word 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,We recommend upgrading to a modern browser.,
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,We recommend upgrading to a modern browser.,
Installation and Repair Technician Solution,https://www.shl.com/products/product-catalog/view/installation-and-repair-technician-solution/,We recommend upgrading to a modern browser.,
Contact Centre Agent Solution - UK,https://www.shl.com/products/product-catalog/view/contact-centre-agent-solution-uk/,We recommend upgrading to a modern browser.,
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,We recommend upgrading to a modern browser.,
Entry Level Customer Service 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,We recommend upgrading to a modern browser.,
Reading Comprehension v2,https://www.shl.com/products/product-catalog/view/reading-comprehension-v2/,We recommend upgrading to a modern browser.,
HTML5 (New),https://www.shl.com/products/product-catalog/view/html5-new/,We recommend upgrading to a modern browser.,
Personal Banker - Short Form,https://www.shl.com/products/product-catalog/view/personal-banker-short-form/,We recommend upgrading to a modern browser.,
Transcriptionist Solution,https://www.shl.com/products/product-catalog/view/transcriptionist-solution/,We recommend upgrading to a modern browser.,
Verify Interactive Ability Report,https://www.shl.com/products/product-catalog/view/verify-interactive-ability-report/,We recommend upgrading to a modern browser.,
Industrial - Entry Level 7.1 (International),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,We recommend upgrading to a modern browser.,
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,We recommend upgrading to a modern browser.,
Financial Accounting (New),https://www.shl.com/products/product-catalog/view/financial-accounting-new/,We recommend upgrading to a modern browser.,
Selenium (New),https://www.shl.com/products/product-catalog/view/selenium-new/,We recommend upgrading to a modern browser.,
